,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-11-01,7372.08935546875,7245.90625,7040.08154296875,6801.8017578125,6559.0849609375,6390.91015625,6272.81005859375,6186.5048828125,6211.384765625,6329.53466796875,6464.53466796875,6769.685546875,7080.10205078125,7474.88671875,7790.91064453125,8128.7177734375,8401.5625,8710.6591796875,8799.5322265625,9031.982421875,9065.0458984375,9072.9482421875,9113.251953125,9167.1728515625,9113.4482421875,9150.3349609375,9115.72265625,9092.9892578125,9087.107421875,9118.0634765625,9039.0830078125,9105.79296875,9126.7099609375,9123.7529296875,9082.7509765625,9062.181640625,9114.080078125,9174.537109375,9076.8798828125,9038.130859375,8899.818359375,8697.732421875,8464.330078125,8355.6513671875,8129.29345703125,8156.765625,7992.15966796875,7868.58251953125
2010-11-02,7785.20458984375,7682.740234375,7436.99755859375,7137.90625,6839.65478515625,6656.66650390625,6533.3564453125,6442.3017578125,6474.0146484375,6659.12939453125,6891.7626953125,7359.9140625,7812.9873046875,8316.59375,8731.9501953125,8986.9619140625,9140.7783203125,9368.15625,9362.8388671875,9488.71875,9481.8681640625,9461.7763671875,9493.2734375,9541.115234375,9488.798828125,9523.072265625,9486.7607421875,9491.5224609375,9489.64453125,9502.611328125,9467.337890625,9523.205078125,9514.0146484375,9442.884765625,9350.7314453125,9219.3564453125,9133.0283203125,9075.708984375,9028.77734375,9039.7919921875,8928.7109375,8694.2373046875,8443.849609375,8434.7685546875,8244.390625,8278.8583984375,8105.962890625,7963.81201171875
2010-11-03,7839.51220703125,7775.17822265625,7518.7861328125,7239.5263671875,6933.896484375,6737.8740234375,6581.2373046875,6438.8564453125,6444.0166015625,6591.98291015625,6792.3232421875,7176.76806640625,7533.703125,8046.8154296875,8423.8134765625,8688.3212890625,8846.236328125,9090.5283203125,9048.2763671875,9208.25,9162.306640625,9119.1240234375,9120.7138671875,9175.9541015625,9079.8564453125,9106.58984375,9030.88671875,9006.84765625,9000.9013671875,9030.5966796875,8952.01171875,9030.2578125,9029.5341796875,8990.421875,8917.2353515625,8884.083984375,8886.37109375,8944.421875,8896.205078125,8915.2080078125,8791.4443359375,8572.6064453125,8369.19921875,8336.8671875,8148.7763671875,8211.0078125,8036.08837890625,7912.33544921875
2010-11-04,7826.705078125,7746.39208984375,7498.47900390625,7223.37060546875,6926.375,6728.150390625,6575.42333984375,6442.6171875,6449.669921875,6595.4775390625,6790.43896484375,7177.15966796875,7545.1484375,8051.9208984375,8439.78125,8713.138671875,8888.9326171875,9134.4736328125,9111.279296875,9269.1103515625,9236.3095703125,9199.787109375,9206.7373046875,9254.1298828125,9169.359375,9194.5419921875,9127.4658203125,9106.46875,9099.4052734375,9124.7919921875,9053.6396484375,9126.10546875,9127.9306640625,9094.2080078125,9033.501953125,9002.3251953125,9014.1025390625,9058.2861328125,9004.6884765625,9009.4306640625,8884.802734375,8666.5,8453.216796875,8408.3076171875,8211.5185546875,8263.970703125,8087.26318359375,7959.64501953125
2010-11-05,7854.31787109375,7762.953125,7519.45263671875,7238.6689453125,6945.13623046875,6748.89453125,6603.93310546875,6483.6875,6498.02197265625,6657.201171875,6870.61669921875,7301.8193359375,7722.76806640625,8257.4990234375,8684.8349609375,8953.11328125,9125.099609375,9348.5458984375,9321.59765625,9454.5966796875,9430.494140625,9398.400390625,9412.654296875,9453.60546875,9381.431640625,9408.3564453125,9355.2216796875,9346.3681640625,9340.38671875,9357.486328125,9301.53515625,9366.4482421875,9367.9677734375,9328.0322265625,9269.642578125,9217.8046875,9213.0224609375,9214.0224609375,9160.833984375,9156.80078125,9034.5986328125,8809.1064453125,8577.33203125,8534.982421875,8326.19140625,8369.3134765625,8185.72216796875,8051.091796875
2010-11-06,7931.60595703125,7854.7685546875,7589.9765625,7306.376953125,6983.599609375,6772.5263671875,6594.12646484375,6428.02880859375,6409.60205078125,6508.50390625,6645.70849609375,6908.880859375,7132.95947265625,7513.912109375,7773.8984375,8074.81884765625,8294.197265625,8625.6767578125,8657.947265625,8883.2978515625,8840.771484375,8800.642578125,8776.9150390625,8829.65625,8716.5341796875,8730.1279296875,8639.1376953125,8586.08984375,8574.001953125,8605.7373046875,8512.615234375,8592.66015625,8604.42578125,8577.3310546875,8516.748046875,8508.26953125,8551.1982421875,8680.095703125,8640.400390625,8661.5126953125,8541.181640625,8340.154296875,8170.35400390625,8134.49658203125,7972.81005859375,8030.24462890625,7867.78759765625,7748.65869140625
2010-11-07,7578.36474609375,7480.603515625,7243.30810546875,6996.7685546875,6711.81298828125,6511.5263671875,6342.40576171875,6188.23779296875,6165.001953125,6216.5322265625,6277.46826171875,6404.7685546875,6500.6015625,6751.6103515625,6901.908203125,7253.705078125,7555.81640625,7968.25244140625,8096.7109375,8412.830078125,8403.9345703125,8391.0478515625,8375.0869140625,8434.1962890625,8324.4208984375,8339.18359375,8249.3359375,8174.02197265625,8158.77099609375,8203.6923828125,8085.8154296875,8168.4541015625,8196.998046875,8204.876953125,8171.34521484375,8214.78515625,8329.7138671875,8540.37890625,8472.337890625,8466.8955078125,8330.85546875,8155.64599609375,8002.3671875,7911.2001953125,7745.36083984375,7798.28759765625,7656.8173828125,7554.80517578125
2010-11-08,7251.21875,7157.0263671875,6952.548828125,6719.04052734375,6487.1904296875,6334.5107421875,6229.685546875,6149.87646484375,6187.8564453125,6343.96240234375,6531.31591796875,6915.32470703125,7305.04541015625,7802.044921875,8193.1064453125,8488.189453125,8692.8603515625,8936.3173828125,8951.982421875,9139.451171875,9159.0615234375,9160.2333984375,9212.876953125,9279.9306640625,9227.388671875,9275.205078125,9242.0009765625,9236.5791015625,9238.0966796875,9274.486328125,9195.9892578125,9265.33203125,9273.4326171875,9257.5078125,9197.064453125,9162.9033203125,9180.87890625,9207.001953125,9112.5234375,9081.7119140625,8939.90234375,8725.4619140625,8482.193359375,8385.626953125,8148.07861328125,8193.59375,8027.28955078125,7913.07177734375
2010-11-09,7652.6923828125,7525.7275390625,7286.38427734375,6970.22119140625,6675.3212890625,6507.7509765625,6415.69287109375,6365.74365234375,6418.53125,6628.92333984375,6873.65673828125,7367.65185546875,7850.1435546875,8291.076171875,8684.0087890625,8934.97265625,9087.6416015625,9335.0302734375,9380.798828125,9510.310546875,9538.5419921875,9540.630859375,9596.6376953125,9650.5009765625,9630.884765625,9675.34765625,9664.9990234375,9684.404296875,9688.5673828125,9695.419921875,9685.751953125,9726.6904296875,9708.4228515625,9605.2958984375,9481.2666015625,9254.1396484375,9081.4453125,8951.3486328125,8906.625,8924.603515625,8825.802734375,8581.7802734375,8306.7919921875,8325.2626953125,8151.48486328125,8168.08056640625,8010.34130859375,7860.2724609375
2010-11-10,7765.642578125,7650.3203125,7405.9111328125,7098.87939453125,6798.421875,6613.00390625,6496.728515625,6418.51416015625,6451.32470703125,6639.33837890625,6867.193359375,7323.2763671875,7767.3125,8218.7890625,8609.3974609375,8864.5361328125,9024.900390625,9277.01953125,9307.546875,9441.7021484375,9451.2626953125,9441.3017578125,9476.076171875,9522.4052734375,9484.1513671875,9518.7841796875,9488.375,9494.0341796875,9492.0166015625,9501.8564453125,9478.0791015625,9523.1396484375,9511.4501953125,9427.6796875,9328.8251953125,9162.00390625,9047.93359375,8965.0439453125,8925.974609375,8937.7216796875,8833.0166015625,8597.2255859375,8343.302734375,8347.810546875,8172.3203125,8198.7470703125,8036.91552734375,7892.69970703125
