,0
2010-05-01,2.311355936349366
2010-05-02,2.2642863758592595
2010-05-03,1.5214709417633148
2010-05-04,1.6020920447090656
2010-05-05,1.8800230772949282
2010-05-06,1.6252784662006996
2010-05-07,1.8253836109249248
2010-05-08,1.8185927806019815
2010-05-09,3.414609268287896
2010-05-10,1.6968737340518587
2010-05-11,1.6011704264492082
2010-05-12,2.8435274377013218
2010-05-13,1.2950660358122101
2010-05-14,1.7538424002637016
2010-05-15,1.4751327826361584
2010-05-16,0.9781370916161466
2010-05-17,2.5400130877718725
2010-05-18,1.0806895231313693
2010-05-19,1.1614604977034968
2010-05-20,1.3313704970196827
2010-05-21,1.6190525101941842
2010-05-22,2.280743728712999
2010-05-23,2.2281970811980796
2010-05-24,1.7410417730702596
2010-05-25,1.4972056087272807
2010-05-26,2.5844913718666733
2010-05-27,1.4049274414432709
2010-05-28,1.7528531655696271
2010-05-29,2.890956928938895
2010-05-30,2.724351786166045
2010-05-31,1.9740349607264358
