,0
2010-05-01,2.311355936349366
2010-05-02,2.2642863758592595
2010-05-03,1.5214709417633148
2010-05-04,1.6020920447090656
2010-05-05,2.0236813143534897
2010-05-06,1.7763284016368883
2010-05-07,1.8253836109249248
2010-05-08,1.8263250524811259
2010-05-09,3.658975876674325
2010-05-10,1.9039338847899374
2010-05-11,1.6011704264492082
2010-05-12,2.8435274377013218
2010-05-13,1.2804279914306558
2010-05-14,1.80902227836598
2010-05-15,1.5249912434034567
2010-05-16,1.116935476529436
2010-05-17,2.388255433008195
2010-05-18,1.2491801087640755
2010-05-19,1.0195467745850206
2010-05-20,1.3313704970196827
2010-05-21,1.6461846678074685
2010-05-22,2.1880156773273542
2010-05-23,2.2219334088179585
2010-05-24,1.8442707645882253
2010-05-25,1.4972056087272807
2010-05-26,2.617140524402549
2010-05-27,1.2103103580174774
2010-05-28,1.7528531655696271
2010-05-29,2.9092349618618227
2010-05-30,2.9252229502215514
2010-05-31,1.914339972336609
