,0
2010-08-01,2.2133256476561263
2010-08-02,3.250318541007133
2010-08-03,3.59316436570039
2010-08-04,2.2094326135099513
2010-08-05,2.4231486964347657
2010-08-06,2.4558143933726595
2010-08-07,1.7450276845427808
2010-08-08,2.312719459735985
2010-08-09,3.2994196405886087
2010-08-10,3.2390931967972625
2010-08-11,2.0057289389101434
2010-08-12,1.9405197978449806
2010-08-13,3.8345818309106003
2010-08-14,2.8022139878123244
2010-08-15,2.4534363529378185
2010-08-16,2.1301217175865554
2010-08-17,2.742056769283056
2010-08-18,2.9374101634002714
2010-08-19,3.019196780535751
2010-08-20,2.0302663689164646
2010-08-21,2.4145938468508095
2010-08-22,2.3567835541065554
2010-08-23,2.501685581658899
2010-08-24,5.280263902935036
2010-08-25,1.6071702162201846
2010-08-26,1.3907058417087712
2010-08-27,3.343804233415562
2010-08-28,1.9535712664415055
2010-08-29,3.4527813548558863
2010-08-30,2.829779984501987
2010-08-31,4.010057935283981
