,0
2008-06-01,4.017625810804409
2008-06-02,3.595313554814097
2008-06-03,2.323965237739746
2008-06-04,5.960026173854603
2008-06-05,8.711088542797961
2008-06-06,3.2997003388207977
2008-06-07,3.181702694398339
2008-06-08,3.313300327472874
2008-06-09,4.72154811288474
2008-06-10,7.671062886612733
2008-06-11,3.66960040744978
2008-06-12,5.270220211633314
2008-06-13,4.432524706735429
2008-06-14,7.023973199138911
2008-06-15,3.4185838912746567
2008-06-16,6.09991603799296
2008-06-17,4.3464409685711605
2008-06-18,1.9788695842538315
2008-06-19,1.554206612342319
2008-06-20,2.8616177111773498
2008-06-21,3.1242804735295917
2008-06-22,3.73797917016061
2008-06-23,10.372798294697464
2008-06-24,4.804947674610347
2008-06-25,3.7421212000004487
2008-06-26,5.103329033171369
2008-06-27,3.513257703316449
2008-06-28,2.2731990772054536
2008-06-29,2.476374641164772
