,0
2008-02-01,8.834035840686683
2008-02-02,3.4300168265919466
2008-02-03,5.707919197014064
2008-02-04,9.145731177784262
2008-02-05,5.089712254901851
2008-02-06,4.942269030219162
2008-02-07,8.666795948272117
2008-02-08,3.821469588630745
2008-02-09,5.262817638366945
2008-02-10,12.224312892595956
2008-02-11,7.46829202866026
2008-02-12,7.324718751910273
2008-02-13,3.4382875411427656
2008-02-14,5.60537981323796
2008-02-15,4.867490170261663
2008-02-16,5.878421915994364
2008-02-17,3.472668289772371
2008-02-18,5.278159437560406
2008-02-19,8.934013522644452
2008-02-20,9.112103922941056
2008-02-21,4.976062836503292
2008-02-22,3.9504973445773244
2008-02-23,3.988523766683035
2008-02-24,3.821768483602115
2008-02-25,8.036717237610052
2008-02-26,9.736200121979
2008-02-27,9.773636956645703
2008-02-28,4.206514831795308
