,0
2021-08-01,5.338307462580176
2021-08-02,1.3703132495493087
2021-08-03,1.3123911861062356
2021-08-04,1.2175240375679293
2021-08-05,0.7724604670329993
2021-08-06,1.3766994707879863
2021-08-07,3.716049000151611
2021-08-08,2.885903611865366
2021-08-09,2.644872074919627
2021-08-10,5.360779368728743
2021-08-11,3.184852274841716
2021-08-12,3.688591229361022
2021-08-13,2.52546591020495
2021-08-14,2.2267361972742092
2021-08-15,5.745746151708944
2021-08-16,1.393401707032244
2021-08-17,1.4727789519212475
2021-08-18,1.6271665506746813
2021-08-19,2.5835849098181236
2021-08-20,1.9650841909681867
2021-08-21,4.474910819275788
2021-08-22,2.8899920624956277
2021-08-23,2.7984185192938864
2021-08-24,3.269993809818573
2021-08-25,3.86540341080017
2021-08-26,1.448650116479159
2021-08-27,3.939920272510881
2021-08-28,2.2196797583265386
2021-08-29,3.556902223440538
2021-08-30,1.9644586468096015
2021-08-31,1.0914467836150572
