date,PSF
2017-01-09,85339.5
2017-01-10,79398.0
2017-01-10,76666.0
2017-01-10,74762.0
2017-01-10,73694.0
2017-01-10,73604.0
2017-01-10,75101.0
2017-01-10,79261.0
2017-01-10,85282.0
2017-01-10,87766.0
2017-01-10,87266.0
2017-01-10,87341.0
2017-01-10,87257.0
2017-01-10,86674.0
2017-01-10,86250.0
2017-01-10,85833.0
2017-01-10,84928.0
2017-01-10,84291.0
2017-01-10,85597.0
2017-01-10,88598.0
2017-01-10,89791.0
2017-01-10,88522.0
2017-01-10,86542.0
2017-01-10,82917.0
2017-01-10,79163.0
2017-01-11,74670.4
2017-01-11,72483.8
2017-01-11,71227.8
2017-01-11,70757.8
2017-01-11,71031.0
2017-01-11,72617.6
2017-01-11,77054.6
2017-01-11,83481.6
2017-01-11,85877.6
2017-01-11,85258.6
2017-01-11,84891.6
2017-01-11,84435.2
2017-01-11,83628.8
2017-01-11,82941.4
2017-01-11,82551.2
2017-01-11,82058.0
2017-01-11,81938.2
2017-01-11,84001.4
2017-01-11,87574.8
2017-01-11,88507.2
2017-01-11,87580.0
2017-01-11,85628.6
2017-01-11,82302.0
2017-01-11,78095.6
2017-01-12,73812.0
2017-01-12,71566.0
2017-01-12,70292.2
2017-01-12,69918.4
2017-01-12,70227.2
2017-01-12,71813.8
2017-01-12,76484.2
2017-01-12,83431.8
2017-01-12,86270.6
2017-01-12,86265.4
2017-01-12,86118.2
2017-01-12,85780.2
2017-01-12,85173.4
2017-01-12,84565.4
2017-01-12,84233.4
2017-01-12,83639.8
2017-01-12,83613.8
2017-01-12,85659.4
2017-01-12,89472.2
2017-01-12,91015.0
2017-01-12,90294.2
2017-01-12,88767.4
2017-01-12,85661.6
2017-01-12,81483.6
2017-01-13,79555.4
2017-01-13,77433.6
2017-01-13,76271.8
2017-01-13,75818.4
2017-01-13,76251.0
2017-01-13,78201.6
2017-01-13,83199.4
2017-01-13,90114.6
2017-01-13,92852.2
2017-01-13,92543.4
2017-01-13,92068.4
2017-01-13,91217.6
2017-01-13,89912.8
2017-01-13,88487.2
2017-01-13,87565.6
2017-01-13,86379.2
2017-01-13,85931.0
2017-01-13,87384.0
2017-01-13,90902.4
2017-01-13,91946.0
2017-01-13,90965.2
2017-01-13,89429.6
2017-01-13,86905.4
2017-01-13,83497.4
2017-01-14,79579.66666666667
2017-01-14,77505.33333333333
2017-01-14,75888.33333333333
2017-01-14,75138.33333333333
2017-01-14,75085.33333333333
2017-01-14,75953.0
2017-01-14,77899.66666666667
2017-01-14,80840.66666666667
2017-01-14,83228.66666666667
2017-01-14,84769.33333333333
2017-01-14,85158.66666666667
2017-01-14,84084.66666666667
2017-01-14,82290.0
2017-01-14,80323.0
2017-01-14,78785.33333333333
2017-01-14,77634.33333333333
2017-01-14,77500.0
2017-01-14,79375.33333333333
2017-01-14,83378.0
2017-01-14,84514.33333333333
2017-01-14,83637.0
2017-01-14,82190.66666666667
2017-01-14,80054.33333333333
2017-01-14,77225.33333333333
2017-01-15,74039.2
2017-01-15,71835.0
2017-01-15,70402.4
2017-01-15,69500.0
2017-01-15,69202.6
2017-01-15,69526.6
2017-01-15,70681.2
2017-01-15,72712.6
2017-01-15,74684.4
2017-01-15,76393.8
2017-01-15,77039.0
2017-01-15,76611.8
2017-01-15,75984.6
2017-01-15,75517.6
2017-01-15,74849.8
2017-01-15,74456.0
2017-01-15,74921.4
2017-01-15,77787.4
2017-01-15,81929.0
2017-01-15,82666.0
2017-01-15,82029.6
2017-01-15,80555.0
2017-01-15,77886.0
2017-01-15,74835.0
2017-01-16,71375.28571428571
2017-01-16,69327.71428571429
2017-01-16,68267.57142857143
2017-01-16,67881.71428571429
