,0
2008-05-01,4.434284374693753
2008-05-02,4.165172196543558
2008-05-03,3.1686731572950997
2008-05-04,2.8045424774601897
2008-05-05,4.533540487099383
2008-05-06,2.9189347718810854
2008-05-07,4.0831173622359245
2008-05-08,3.5752029629448256
2008-05-09,3.7193409270510234
2008-05-10,4.12971953758691
2008-05-11,5.592048986471093
2008-05-12,3.030650726171442
2008-05-13,3.256840889919564
2008-05-14,3.0078616989688363
2008-05-15,5.027509322759309
2008-05-16,3.9422666190717464
2008-05-17,2.4785348371711025
2008-05-18,4.106892279570333
2008-05-19,3.1136024449357387
2008-05-20,5.743186742368538
2008-05-21,3.7016184565161003
2008-05-22,4.097768737842611
2008-05-23,4.026435428993165
2008-05-24,4.534527777116104
2008-05-25,3.69109245042138
2008-05-26,5.949349732331718
2008-05-27,4.211353703091852
2008-05-28,6.5808266943248634
2008-05-29,3.6232904776895616
2008-05-30,2.349777178595917
2008-05-31,5.910010614740942
