,0
2021-05-01,6.840267937406086
2021-05-02,7.464073079142537
2021-05-03,2.4096908222611306
2021-05-04,3.479584089806963
2021-05-05,4.106375157522157
2021-05-06,4.258368443989008
2021-05-07,3.3148600239783783
2021-05-08,2.1720877846194986
2021-05-09,2.1520055379521423
2021-05-10,5.586069446968064
2021-05-11,2.5518419320106234
2021-05-12,3.172976807446526
2021-05-13,3.2900223780237874
2021-05-14,3.41329631556466
2021-05-15,4.803130157108565
2021-05-16,6.607861045651053
2021-05-17,1.4555437865398306
2021-05-18,2.518992218438789
2021-05-19,3.0781654457378553
2021-05-20,1.4255157914599734
2021-05-21,1.5196486736745345
2021-05-22,2.4407059360221806
2021-05-23,6.995964467754791
2021-05-24,1.1795636822774633
2021-05-25,1.4206120241561002
2021-05-26,3.519363147000989
2021-05-27,1.7565004216640208
2021-05-28,2.3823411962310646
2021-05-29,2.805810345174862
2021-05-30,6.3814998998752355
2021-05-31,6.389292801796477
