,0
2010-02-01,4.699867187801022
2010-02-02,3.240320952319701
2010-02-03,5.759636987462846
2010-02-04,2.7875841065525986
2010-02-05,4.228747433550346
2010-02-06,6.7759545544816016
2010-02-07,5.463233403093493
2010-02-08,5.7998659121773555
2010-02-09,1.8854790462455788
2010-02-10,0.7152395367467108
2010-02-11,2.0591474707003945
2010-02-12,2.948658035111802
2010-02-13,11.5900900317654
2010-02-14,7.562492759359772
2010-02-15,6.182421903905949
2010-02-16,6.566066255708609
2010-02-17,2.1932447621092677
2010-02-18,3.1528809455953324
2010-02-19,2.1769319597095427
2010-02-20,1.9476392554564275
2010-02-21,4.3410147389013405
2010-02-22,3.1199094148424273
2010-02-23,6.201866786331541
2010-02-24,3.0746724754069894
2010-02-25,2.078485193228406
2010-02-26,1.6842371831492797
2010-02-27,3.4071715132723384
2010-02-28,5.613311718855463
