,id,cluster_label
253,2006-09-14,0
254,2006-09-15,0
255,2006-09-16,0
256,2006-09-17,3
257,2006-09-18,3
258,2006-09-19,5
259,2006-09-20,4
260,2006-09-21,4
261,2006-09-22,2
262,2006-09-23,5
263,2006-09-24,5
264,2006-09-25,3
265,2006-09-26,0
266,2006-09-27,5
267,2006-09-28,4
268,2006-09-29,5
269,2006-09-30,3
270,2006-10-01,0
271,2006-10-02,5
272,2006-10-03,4
273,2006-10-04,5
274,2006-10-05,5
275,2006-10-06,5
276,2006-10-07,2
277,2006-10-08,5
278,2006-10-09,3
279,2006-10-10,4
280,2006-10-11,4
281,2006-10-12,5
282,2006-10-13,5
283,2006-10-14,2
284,2006-10-15,4
285,2006-10-16,4
286,2006-10-17,4
287,2006-10-18,5
288,2006-10-19,5
289,2006-10-20,1
290,2006-10-21,0
291,2006-10-22,3
292,2006-10-23,4
293,2006-10-24,4
294,2006-10-25,5
295,2006-10-26,4
296,2006-10-27,2
297,2006-10-28,3
298,2006-10-29,3
299,2006-10-30,4
300,2006-10-31,5
301,2006-11-01,5
302,2006-11-02,2
303,2006-11-03,1
304,2006-11-04,4
305,2006-11-05,5
306,2006-11-06,5
307,2006-11-07,4
308,2006-11-08,5
309,2006-11-09,4
310,2006-11-10,5
311,2006-11-11,4
312,2006-11-12,2
313,2006-11-13,4
314,2006-11-14,2
315,2006-11-15,4
316,2006-11-16,4
317,2006-11-17,4
318,2006-11-18,4
319,2006-11-19,5
320,2006-11-20,4
321,2006-11-21,2
322,2006-11-22,4
323,2006-11-23,5
324,2006-11-24,4
325,2006-11-25,2
326,2006-11-26,4
327,2006-11-27,4
328,2006-11-28,2
329,2006-11-29,4
330,2006-11-30,4
331,2006-12-01,2
332,2006-12-02,5
333,2006-12-03,4
334,2006-12-04,4
335,2006-12-05,4
336,2006-12-06,4
337,2006-12-07,5
338,2006-12-08,4
339,2006-12-09,5
340,2006-12-10,5
341,2006-12-11,4
342,2006-12-12,4
343,2006-12-13,4
344,2006-12-14,1
345,2006-12-15,5
346,2006-12-16,4
347,2006-12-17,4
348,2006-12-18,5
349,2006-12-19,4
350,2006-12-20,4
351,2006-12-21,5
352,2006-12-22,5
353,2006-12-23,4
354,2006-12-24,5
355,2006-12-25,4
356,2006-12-26,3
357,2006-12-27,4
358,2006-12-28,2
359,2006-12-29,5
360,2006-12-30,5
361,2006-12-31,5
362,2007-01-01,4
363,2007-01-02,5
364,2007-01-03,4
365,2007-01-04,5
366,2007-01-05,5
367,2007-01-06,4
368,2007-01-07,5
369,2007-01-08,4
370,2007-01-09,4
371,2007-01-10,4
372,2007-01-11,5
373,2007-01-12,5
374,2007-01-13,4
375,2007-01-14,4
376,2007-01-15,5
377,2007-01-16,5
378,2007-01-17,5
379,2007-01-18,5
380,2007-01-19,5
381,2007-01-20,5
382,2007-01-21,2
383,2007-01-22,4
384,2007-01-23,1
385,2007-01-24,4
386,2007-01-25,4
387,2007-01-26,2
388,2007-01-27,4
389,2007-01-28,5
390,2007-01-29,4
391,2007-01-30,2
392,2007-01-31,4
393,2007-02-01,4
394,2007-02-02,4
395,2007-02-03,5
396,2007-02-04,5
397,2007-02-05,5
398,2007-02-06,5
399,2007-02-07,5
400,2007-02-08,4
