date,load1,load2,load3,load4,load5,load6,load7,load8,load9,load10,load11,load12,load13,load14,load15,load16,load17,load18,load19,load20,load21,load22,load23,load24,load25,load26,load27,load28,load29,load30,load31,load32,load33,load34,load35,load36,load37,load38,load39,load40,load41,load42,load43,load44,load45,load46,load47,load48
2006-01-14,7871.83,7628.16333,7315.9,6970.53833,6673.77833,6476.905,6348.48333,6256.08833,6292.35333,6357.12833,6430.63833,6561.9,6742.74167,7042.645,7403.44833,7870.49333,8244.20333,8753.43167,8925.34333,9171.755,9260.625,9353.99333,9463.53333,9474.88333,9692.045,9841.965,9945.71667,10133.40333,10236.615,10358.89333,10466.14167,10567.005,10652.51833,10531.83167,10495.68667,10341.88333,10080.85667,9793.295,9547.13333,9528.29,9508.77333,9210.94333,8924.90167,8844.21833,8553.355,8442.52667,8106.87667,7823.99333
2006-01-15,7550.03667,7305.35,7060.81167,6753.265,6505.17667,6305.635,6250.31167,6132.56833,6044.62167,6119.405,6260.285,6340.07,6358.21667,6586.89333,6799.04,7198.61333,7511.25167,7818.16667,7994.45333,8201.11333,8295.34833,8337.40167,8337.635,8393.515,8401.52833,8389.80167,8328.87667,8360.94,8288.55833,8323.85667,8347.81833,8294.12833,8332.12667,8288.80167,8390.64333,8455.9,8467.785,8401.68833,8361.36333,8412.895,8478.99333,8277.07333,8106.92667,8060.96667,7884.015,7820.17667,7521.45667,7332.04833
2006-01-16,7176.675,6961.295,6799.20333,6529.2,6353.53833,6248.25833,6218.35667,6255.00167,6339.905,6535.7,6819.02,7392.415,7875.57333,8309.72,8741.15333,9235.06833,9687.05333,9978.28333,10113.50667,10306.45833,10390.25333,10493.86833,10618.67833,10646.81833,10723.54667,10843.35667,10817.90167,10800.795,10723.62833,10751.86333,10767.45167,10773.84667,10676.66,10606.92333,10516.80833,10270.94167,10082.36167,9726.76167,9466.52833,9497.465,9498.94,9237.33167,8875.35333,8893.44333,8682.86167,8573.35333,8327.69833,8159.04333
2006-01-17,7951.125,7721.88,7492.65,7124.755,6839.60333,6637.94,6580.935,6515.385,6521.965,6706.53,7094.235,7612.095,8173.53667,8559.73667,9084.14833,9443.92,9712.17,10053.35333,10177.32,10353.37167,10406.665,10498.405,10555.28667,10451.095,10488.935,10566.39167,10530.56,10578.94333,10496.31833,10541.93333,10570.75167,10589.745,10545.14,10471.125,10421.52,10116.51333,9942.445,9636.62667,9414.69167,9398.21167,9473.75667,9251.705,8932.555,8904.89167,8621.44167,8580.335,8319.25167,8098.73333
2006-01-18,7885.51833,7616.37167,7406.72833,7036.89167,6737.705,6552.82833,6461.2,6450.04,6483.645,6665.745,6930.32,7407.29,7891.26,8327.82,8785.485,9186.57333,9488.715,9766.285,9833.75333,9896.59167,9883.105,9960.40167,9977.47167,9906.25333,9863.68167,9872.40333,9800.80833,9690.04167,9719.195,9680.26333,9638.43833,9596.41167,9556.91167,9536.40333,9432.81333,9159.45667,8974.78667,8738.54833,8611.33167,8612.93,8585.15667,8372.66667,8055.04667,8171.46167,8064.66667,8061.79,7944.41333,7803.56167
2006-01-19,7652.89167,7422.85333,7174.09167,6860.19833,6555.66833,6353.515,6266.27333,6203.51333,6288.26833,6496.00667,6759.18167,7218.585,7721.97667,8075.40667,8495.9,8844.95167,9069.76333,9380.03833,9477.18667,9652.65167,9653.56,9641.16,9719.08833,9590.93,9583.23333,9624.62667,9604.76,9554.43833,9500.39667,9469.89667,9437.05167,9464.705,9405.91,9331.34167,9318.01167,9197.46333,9102.90167,8909.12333,8766.57167,8871.82833,8966.51333,8658.195,8364.86833,8502.54,8412.10167,8392.24333,8204.03,8016.52167
2006-01-20,7845.31833,7582.775,7336.31167,6998.79833,6675.615,6449.89667,6388.24833,6319.94,6390.40667,6543.63333,6830.55833,7258.81667,7820.56,8217.25667,8671.59167,9063.45333,9297.48667,9670.38833,9809.68833,9906.20167,9919.21333,9951.53667,9970.94667,9907.695,9886.675,9890.745,9849.195,9813.17333,9809.39667,9825.27,9849.94,9917.79833,9953.95333,9848.62167,9676.105,9343.67167,9205.72667,8988.58,8817.84667,8851.19333,8906.22833,8747.46667,8509.23333,8598.60667,8454.66833,8396.60167,8196.69833,8100.395
2006-01-21,7882.625,7625.76667,7309.37333,7013.86833,6612.51667,6451.88,6301.90667,6224.13333,6199.52333,6328.77167,6362.915,6540.52167,6729.46333,7027.22,7443.98167,7935.205,8387.07833,8799.82333,9025.12167,9225.24167,9362.37167,9513.61833,9622.42,9612.35,9808.22667,9912.73833,9960.13333,10083.98333,10161.68833,10303.73167,10428.50333,10485.17667,10521.93167,10470.92333,10434.58,10239.08,10089.88167,9905.395,9778.23333,9650.69167,9764.20667,9501.8,9258.88333,9114.20167,8867.76167,8728.47833,8293.14167,8010.435
2006-01-22,7724.04,7443.365,7238.99,6896.11167,6605.11,6453.82,6342.88167,6259.67333,6261.10833,6326.88833,6344.635,6380.08,6470.435,6701.505,7044.16,7510.41833,7910.64667,8447.45333,8799.40167,9166.78167,9417.48833,9704.73833,9891.39167,10065.145,10217.65333,10266.085,10337.7,10317.33167,10407.695,10453.89833,10510.95667,10478.66667,10510.475,10444.975,10434.13667,10385.96,10287.18,10087.74667,9905.125,9830.16833,9960.945,9727.41333,9411.65333,9196.595,8779.60667,8544.81833,8147.83833,7885.31833
2006-01-23,7638.39167,7410.155,7252.12333,6892.52833,6778.71667,6642.67,6590.63167,6594.77667,6714.81333,6911.085,7200.03167,7700.32833,8203.94833,8684.39,9262.995,9870.19333,10287.345,10703.83,11028.18833,11330.80833,11495.355,11679.42333,11842.555,11958.9,12133.96333,12295.15167,12382.35333,12468.51833,12507.125,12575.70667,12605.88333,12651.29333,12674.64333,12607.72667,12531.615,12151.71333,11967.07667,11595.00167,11350.39,11265.80333,11153.25167,10803.73333,10407.36167,10157.94833,9716.61833,9450.595,9063.11333,8769.52667
