date,load1,load2,load3,load4,load5,load6,load7,load8,load9,load10,load11,load12,load13,load14,load15,load16,load17,load18,load19,load20,load21,load22,load23,load24,temp1,temp2,temp3
2015-07-31,88488,82649,78673,75940,74677,75350,78390,82480,88112,94215,100166,105324,109882,113589,116757,118562,119724,119764,118402,114785,109177,105352,100805,93272,78.2,72.9,74.6
2015-08-01,85811,79913,75543,72434,70574,69901,70271,70930,75304,81939,88187,93598,98157,101740,104693,107246,109141,110585,110471,108133,103928,100950,96882,89951,82.5,74.9,75.0
2015-08-02,83389,78086,74317,71502,69780,68797,68781,68952,73452,80574,88224,95069,101378,106928,110827,113876,116219,117607,117593,115124,110950,107833,102249,94032,77.8,70.8,79.5
2015-08-03,86546,81092,76988,74589,73666,74536,78084,81743,87078,92668,98424,103984,108707,112846,116101,117774,118449,118491,117444,114846,110540,107917,103043,94772,75.0,69.4,74.2
2015-08-04,87199,81626,77574,74926,73668,74662,78030,81584,86451,91513,96564,102025,106352,109900,112817,114542,115163,114653,112982,110155,106551,104781,100482,92955,75.6,67.8,74.8
2015-08-05,85784,80957,77362,75137,74131,75268,78882,82675,87071,91599,96258,100769,104684,108338,110954,111831,111703,111064,109953,107494,104200,103161,98982,91780,76.2,67.9,70.1
2015-08-06,85412,80677,77321,74963,74291,75426,79143,83161,86791,90789,94899,98632,101868,104598,107299,109138,110393,110516,109305,106905,103857,102807,98752,91961,76.4,68.3,69.7
2015-08-07,85478,80330,76937,74581,73494,74595,78212,82029,86322,91034,95641,99997,103874,107424,110700,112830,113924,114277,113019,110166,106195,104552,100245,93292,78.1,70.5,73.9
2015-08-08,86621,81318,77533,74897,73160,72895,73688,74396,77508,83072,88757,93713,97673,100839,103047,104471,105833,106649,106228,103885,100934,100216,96480,90408,74.6,73.4,75.1
2015-08-09,84459,79429,76075,73549,71888,70916,71038,71524,74610,80246,85778,90667,95256,99608,102915,105247,107365,109000,109323,107908,105606,104601,100439,93816,77.8,73.2,77.3
2015-08-10,87163,82565,79365,77323,76774,78122,82407,86847,91201,96167,101106,106196,110388,113892,116441,117538,118855,119349,118222,115864,112011,109841,104517,95886,75.0,71.9,74.4
2015-08-11,88639,83142,79290,76717,75651,76680,80517,84641,88920,94080,99062,103792,107937,111142,113609,115004,115914,115584,114076,111374,107372,105362,100042,91760,72.7,68.7,71.3
2015-08-12,84557,79344,75687,73255,72312,73243,77320,81265,85456,90239,94690,99830,104331,108003,111221,113418,114913,115405,114382,111696,107593,105785,100463,92409,75.6,71.6,71.8
2015-08-13,85233,79850,76228,73792,72782,73815,77964,82196,86151,90925,96012,101367,106014,110324,114267,116767,118471,118696,117512,114598,110820,109474,104366,96252,79.4,77.3,74.3
2015-08-14,88651,83049,79259,76571,75254,76283,80449,84925,89154,94244,99842,105089,110437,114982,118717,121412,123072,122815,120697,116573,111665,108649,103202,95461,78.0,72.5,75.3
2015-08-15,87939,82069,77831,74595,72627,72110,73000,73724,77809,84816,92047,98881,104400,108595,111842,114239,116003,116725,115696,112204,107712,105498,100711,93497,80.7,78.6,74.6
2015-08-16,86426,80648,76731,73620,71772,71013,71276,71444,75439,82482,89606,96211,101771,106132,109181,111186,112553,113388,112821,110400,107364,105854,100648,93390,81.2,80.6,73.6
2015-08-17,86264,81228,77709,75458,74663,76035,81197,86477,90811,95813,100901,106144,110846,114459,116918,117335,117046,115860,113955,110998,108141,106664,100618,92638,75.8,77.2,73.1
2015-08-18,85609,80477,77173,75025,74224,75733,80495,85660,89334,93196,97886,102662,106731,109687,112114,112791,112369,111432,109706,107073,105060,104200,98779,91223,73.9,79.1,76.3
2015-08-19,84878,80436,76832,74823,74147,75717,80268,85530,89011,92241,95414,98172,99850,100993,101583,101081,100286,99965,98796,96853,95588,95604,90929,84026,67.2,71.1,68.5
2015-08-20,78217,74096,70986,69266,68658,70036,74533,79197,82035,84870,87500,89970,91602,93265,94945,95884,96419,96818,95772,93955,92178,92113,88070,81443,71.7,67.6,68.2
2015-08-21,75572,71428,68883,67343,66874,68274,72393,76743,80303,84303,87976,91286,93851,96453,98515,99730,100425,100471,99248,96315,93303,92713,88657,82677,75.3,69.4,70.8
