,date,PSF
184,2018-01-14,84629.0
185,2018-01-14,87926.0
186,2018-01-14,92452.5
187,2018-01-14,92699.0
188,2018-01-14,91807.5
189,2018-01-14,90424.0
190,2018-01-14,87652.5
191,2018-01-14,83835.5
192,2018-01-15,80301.0
193,2018-01-15,78369.0
194,2018-01-15,76618.0
195,2018-01-15,75838.0
196,2018-01-15,74835.0
197,2018-01-15,75096.0
198,2018-01-15,75877.0
199,2018-01-15,77125.0
200,2018-01-15,79339.0
201,2018-01-15,81167.0
202,2018-01-15,81758.0
203,2018-01-15,81305.0
204,2018-01-15,80834.0
205,2018-01-15,80494.0
206,2018-01-15,80272.0
207,2018-01-15,79955.0
208,2018-01-15,80022.0
209,2018-01-15,83777.0
210,2018-01-15,87588.0
211,2018-01-15,87491.0
212,2018-01-15,86572.0
213,2018-01-15,84306.0
214,2018-01-15,81040.0
215,2018-01-15,77421.0
216,2018-01-16,72206.4
217,2018-01-16,69949.0
218,2018-01-16,69006.6
219,2018-01-16,68944.4
220,2018-01-16,69378.0
221,2018-01-16,71329.0
222,2018-01-16,75987.6
223,2018-01-16,82179.8
224,2018-01-16,85289.0
225,2018-01-16,85680.8
226,2018-01-16,86325.6
227,2018-01-16,86521.4
228,2018-01-16,86087.8
229,2018-01-16,85596.6
230,2018-01-16,85140.4
231,2018-01-16,84650.20000000001
232,2018-01-16,84794.6
233,2018-01-16,86434.6
234,2018-01-16,90088.79999999999
235,2018-01-16,91911.79999999999
236,2018-01-16,91129.2
237,2018-01-16,89405.4
238,2018-01-16,86377.2
239,2018-01-16,82316.4
240,2018-01-17,78962.0
241,2018-01-17,76949.0
242,2018-01-17,76060.0
243,2018-01-17,75594.0
244,2018-01-17,76129.0
245,2018-01-17,78318.0
246,2018-01-17,84008.0
247,2018-01-17,91481.0
248,2018-01-17,94145.0
249,2018-01-17,93016.0
250,2018-01-17,91902.0
251,2018-01-17,90379.0
252,2018-01-17,88680.0
253,2018-01-17,86976.0
254,2018-01-17,85611.0
255,2018-01-17,84278.0
256,2018-01-17,83735.0
257,2018-01-17,85118.0
258,2018-01-17,89951.0
259,2018-01-17,92914.0
260,2018-01-17,92308.0
261,2018-01-17,90800.0
262,2018-01-17,87321.0
263,2018-01-17,82547.0
264,2018-01-18,76177.2
265,2018-01-18,74033.8
266,2018-01-18,72820.2
267,2018-01-18,72387.6
268,2018-01-18,72479.6
269,2018-01-18,73940.8
270,2018-01-18,77241.2
271,2018-01-18,81751.6
272,2018-01-18,83640.0
273,2018-01-18,84616.4
274,2018-01-18,84760.0
275,2018-01-18,84413.6
276,2018-01-18,83739.4
277,2018-01-18,82910.4
278,2018-01-18,82084.0
279,2018-01-18,81391.0
280,2018-01-18,80932.4
281,2018-01-18,81720.4
282,2018-01-18,83903.20000000001
283,2018-01-18,86850.2
284,2018-01-18,86433.2
285,2018-01-18,84503.8
286,2018-01-18,81217.79999999999
287,2018-01-18,77248.2
288,2018-01-19,73326.04000000001
289,2018-01-19,71300.4
290,2018-01-19,70056.52
291,2018-01-19,69361.24
292,2018-01-19,69447.88
293,2018-01-19,70659.88
294,2018-01-19,74345.64
295,2018-01-19,79703.56
296,2018-01-19,81345.35999999999
297,2018-01-19,81088.36
298,2018-01-19,80590.24
299,2018-01-19,79719.76
300,2018-01-19,78688.16
301,2018-01-19,77717.68
302,2018-01-19,77039.64
303,2018-01-19,76108.95999999999
304,2018-01-19,75504.92
305,2018-01-19,75986.95999999999
306,2018-01-19,77983.88
307,2018-01-19,80107.28
308,2018-01-19,79451.48
309,2018-01-19,77757.28
310,2018-01-19,74972.92
311,2018-01-19,71444.52
312,2018-01-20,75831.35555555555
313,2018-01-20,73910.98888888888
314,2018-01-20,72762.41111111111
315,2018-01-20,72104.63333333333
316,2018-01-20,72235.9
317,2018-01-20,73289.77777777778
318,2018-01-20,75926.48888888888
319,2018-01-20,79779.2888888889
320,2018-01-20,81816.43333333333
321,2018-01-20,82242.36666666667
322,2018-01-20,81633.97777777778
323,2018-01-20,80210.0
324,2018-01-20,78347.48888888888
325,2018-01-20,76590.82222222222
326,2018-01-20,75192.20000000001
327,2018-01-20,74122.87777777777
328,2018-01-20,73852.8
329,2018-01-20,75124.8111111111
330,2018-01-20,78602.98888888888
331,2018-01-20,80655.48888888888
332,2018-01-20,80126.32222222222
333,2018-01-20,78693.53333333333
334,2018-01-20,76377.91111111111
335,2018-01-20,73204.4
336,2018-01-21,73445.74444444444
337,2018-01-21,71447.43333333332
338,2018-01-21,70168.01111111112
339,2018-01-21,69558.53333333333
340,2018-01-21,69537.48888888888
341,2018-01-21,70472.78888888888
342,2018-01-21,72646.94444444444
343,2018-01-21,76093.66666666666
344,2018-01-21,77860.17777777778
345,2018-01-21,78641.07777777777
346,2018-01-21,78442.85555555555
347,2018-01-21,77552.73333333334
348,2018-01-21,76396.32222222222
349,2018-01-21,75464.07777777777
350,2018-01-21,74556.88888888889
351,2018-01-21,73888.53333333333
352,2018-01-21,73875.03333333333
353,2018-01-21,75309.83333333333
354,2018-01-21,78385.51111111112
355,2018-01-21,80389.7111111111
356,2018-01-21,79908.07777777777
357,2018-01-21,78413.95555555556
358,2018-01-21,75661.58888888889
359,2018-01-21,72716.8
360,2018-01-22,64720.0
361,2018-01-22,63158.0
362,2018-01-22,62292.0
363,2018-01-22,61688.0
364,2018-01-22,61645.0
365,2018-01-22,63319.0
366,2018-01-22,68481.0
367,2018-01-22,74900.0
368,2018-01-22,77431.0
369,2018-01-22,78316.0
370,2018-01-22,79230.0
371,2018-01-22,79745.0
372,2018-01-22,79638.0
373,2018-01-22,79025.0
374,2018-01-22,78889.0
375,2018-01-22,78147.0
376,2018-01-22,77636.0
377,2018-01-22,77748.0
378,2018-01-22,79372.0
379,2018-01-22,81790.0
380,2018-01-22,80984.0
381,2018-01-22,78446.0
382,2018-01-22,75124.0
383,2018-01-22,70966.0
384,2018-01-23,67311.0
385,2018-01-23,65070.0
386,2018-01-23,63543.0
387,2018-01-23,63026.0
388,2018-01-23,63450.0
389,2018-01-23,64631.0
390,2018-01-23,69457.0
391,2018-01-23,76012.0
392,2018-01-23,78162.0
393,2018-01-23,78764.0
394,2018-01-23,79166.0
395,2018-01-23,79387.0
396,2018-01-23,78966.0
397,2018-01-23,78616.0
398,2018-01-23,78222.0
399,2018-01-23,77330.0
400,2018-01-23,76354.0
401,2018-01-23,76507.0
402,2018-01-23,77816.0
403,2018-01-23,81507.0
404,2018-01-23,82075.0
405,2018-01-23,80420.0
406,2018-01-23,77021.0
407,2018-01-23,73154.0
408,2018-01-24,77103.54999999999
409,2018-01-24,74962.375
410,2018-01-24,73696.875
411,2018-01-24,73167.325
412,2018-01-24,73542.425
413,2018-01-24,75086.075
414,2018-01-24,79154.15
415,2018-01-24,84739.3
416,2018-01-24,87146.27500000001
417,2018-01-24,87170.025
418,2018-01-24,86825.15
419,2018-01-24,86009.975
420,2018-01-24,84788.525
421,2018-01-24,83462.525
422,2018-01-24,82408.8
423,2018-01-24,81487.15
424,2018-01-24,81434.57500000001
425,2018-01-24,83860.27500000001
426,2018-01-24,87898.025
427,2018-01-24,89053.35
428,2018-01-24,88526.55
429,2018-01-24,87194.1
430,2018-01-24,84564.2
431,2018-01-24,80862.27500000001
432,2018-01-25,80741.44
433,2018-01-25,78908.4
434,2018-01-25,77831.28
435,2018-01-25,77489.51999999999
436,2018-01-25,77697.79999999999
437,2018-01-25,79413.72
438,2018-01-25,83722.08
439,2018-01-25,89275.84
440,2018-01-25,90960.92
441,2018-01-25,89978.04000000001
442,2018-01-25,88200.08
443,2018-01-25,86223.8
444,2018-01-25,84322.76000000001
445,2018-01-25,82524.88
446,2018-01-25,81278.2
447,2018-01-25,80221.2
448,2018-01-25,79878.36
449,2018-01-25,81321.92
450,2018-01-25,84746.4
451,2018-01-25,87404.92000000001
452,2018-01-25,87215.84
453,2018-01-25,85738.95999999999
454,2018-01-25,82791.0
455,2018-01-25,79292.48000000001
456,2018-01-26,74286.1
457,2018-01-26,72441.73333333334
458,2018-01-26,71302.70000000001
459,2018-01-26,70457.63333333333
460,2018-01-26,70480.9
461,2018-01-26,71638.88333333333
462,2018-01-26,74691.16666666667
463,2018-01-26,79047.33333333334
464,2018-01-26,81059.38333333333
465,2018-01-26,81409.51666666666
466,2018-01-26,80964.96666666667
467,2018-01-26,79979.16666666667
468,2018-01-26,78632.86666666667
469,2018-01-26,77405.85
470,2018-01-26,76202.78333333333
471,2018-01-26,75382.28333333333
472,2018-01-26,75449.73333333334
473,2018-01-26,77122.51666666666
474,2018-01-26,80602.93333333333
475,2018-01-26,82349.21666666667
476,2018-01-26,81798.01666666666
477,2018-01-26,80245.16666666667
478,2018-01-26,77449.7
479,2018-01-26,74100.76666666666
480,2018-01-27,69036.2
481,2018-01-27,66898.06666666667
482,2018-01-27,65491.4
483,2018-01-27,64979.93333333333
484,2018-01-27,64890.26666666667
485,2018-01-27,65485.0
