,date,PSF
0,2008-01-07,0.24019376033382756
1,2008-01-07,0.2227058760521845
2,2008-01-07,0.1932407224876621
3,2008-01-07,0.15117727292927485
4,2008-01-07,0.1162995012414837
5,2008-01-07,0.09091147349697304
6,2008-01-07,0.07783800660681262
7,2008-01-07,0.07199010003657802
8,2008-01-07,0.0731877130150107
9,2008-01-07,0.09043972109633447
10,2008-01-07,0.10332631022392291
11,2008-01-07,0.15005372735673939
12,2008-01-07,0.19517217253375485
13,2008-01-07,0.23412365154590076
14,2008-01-07,0.28202019419334334
15,2008-01-07,0.3245280481871149
16,2008-01-07,0.35807716456296257
17,2008-01-07,0.38802204701798915
18,2008-01-07,0.4027557632988028
19,2008-01-07,0.41171905891093585
20,2008-01-07,0.4213557981674585
21,2008-01-07,0.4187805314393349
22,2008-01-07,0.4219665693914738
23,2008-01-07,0.42563917322543054
24,2008-01-07,0.41973657072468695
25,2008-01-07,0.4183224530213234
26,2008-01-07,0.4178051206785942
27,2008-01-07,0.41213497588251324
28,2008-01-07,0.4043647352546038
29,2008-01-07,0.4034178119576699
30,2008-01-07,0.40057590256831577
31,2008-01-07,0.4020150892398293
32,2008-01-07,0.4080361995900086
33,2008-01-07,0.40174844657859876
34,2008-01-07,0.3942266166350836
35,2008-01-07,0.3689491202501428
36,2008-01-07,0.35476236327441757
37,2008-01-07,0.3399511610920499
38,2008-01-07,0.3297799970145139
39,2008-01-07,0.3322982888150242
40,2008-01-07,0.33850741642632753
41,2008-01-07,0.32588746995996953
42,2008-01-07,0.2991195094686633
43,2008-01-07,0.3074048034421972
44,2008-01-07,0.2912945729102452
45,2008-01-07,0.2931348630721565
46,2008-01-07,0.2842342398803983
47,2008-01-07,0.26851257835476927
48,2008-01-08,0.24735664823337844
49,2008-01-08,0.22408580879898
50,2008-01-08,0.19406344044239898
51,2008-01-08,0.15576603359925434
52,2008-01-08,0.11929182443973707
53,2008-01-08,0.09471056167023151
54,2008-01-08,0.08159037533942826
55,2008-01-08,0.07627689359020673
56,2008-01-08,0.07707682157389828
57,2008-01-08,0.09408611646358911
58,2008-01-08,0.11255055100452505
59,2008-01-08,0.15446928424677442
60,2008-01-08,0.19736798624397356
61,2008-01-08,0.23762077260280845
62,2008-01-08,0.2795429243407147
63,2008-01-08,0.3237053302323779
64,2008-01-08,0.35345080044075805
65,2008-01-08,0.38728251245756784
66,2008-01-08,0.4081900318945644
67,2008-01-08,0.43122499512864376
68,2008-01-08,0.4386909896430977
69,2008-01-08,0.44013131581316345
70,2008-01-08,0.44362729737151874
71,2008-01-08,0.4413847642206572
72,2008-01-08,0.43834572158176077
73,2008-01-08,0.44375833970502954
74,2008-01-08,0.442058207865047
75,2008-01-08,0.4424114524162499
76,2008-01-08,0.44676775538156677
77,2008-01-08,0.4464167898274687
78,2008-01-08,0.4500529297077529
79,2008-01-08,0.4554621293353647
80,2008-01-08,0.4550564678507576
81,2008-01-08,0.4517063421070924
82,2008-01-08,0.4524663876414545
83,2008-01-08,0.4294382613986889
84,2008-01-08,0.4173641347388668
85,2008-01-08,0.39279198795777925
86,2008-01-08,0.38087625159672234
87,2008-01-08,0.3820784225693641
88,2008-01-08,0.395166702940704
89,2008-01-08,0.36570952586604744
90,2008-01-08,0.33031442183552706
91,2008-01-08,0.3389153569080392
92,2008-01-08,0.31960883293697784
93,2008-01-08,0.3231857188925442
94,2008-01-08,0.3082263818983819
95,2008-01-08,0.28810397696389733
96,2008-01-09,0.2718980285535547
97,2008-01-09,0.2394211803153905
98,2008-01-09,0.21619136282887352
99,2008-01-09,0.1721235353170485
100,2008-01-09,0.13179782105086835
101,2008-01-09,0.10867739542536925
102,2008-01-09,0.09742142872607495
103,2008-01-09,0.08994289972754599
104,2008-01-09,0.0925660253948648
105,2008-01-09,0.11354989123486325
106,2008-01-09,0.13291225063498568
107,2008-01-09,0.16765670099216146
108,2008-01-09,0.21068074783010993
109,2008-01-09,0.2519351534163876
110,2008-01-09,0.29921636684560604
111,2008-01-09,0.34727471828747036
112,2008-01-09,0.38955581206934076
113,2008-01-09,0.4299966156892998
114,2008-01-09,0.4496974061594454
115,2008-01-09,0.46772199425920635
116,2008-01-09,0.4729671060952918
117,2008-01-09,0.4751218978576288
118,2008-01-09,0.4881247158375486
119,2008-01-09,0.4874945731381448
120,2008-01-09,0.4829229049464492
121,2008-01-09,0.48958555298155515
122,2008-01-09,0.4930974875196421
123,2008-01-09,0.49908669191035804
124,2008-01-09,0.49561691881870473
125,2008-01-09,0.5033643694755687
126,2008-01-09,0.5045722379409716
127,2008-01-09,0.5111687950600459
128,2008-01-09,0.5110992856483576
129,2008-01-09,0.5066689152771433
130,2008-01-09,0.49659119008089303
131,2008-01-09,0.45253133905893383
132,2008-01-09,0.43046039160007243
133,2008-01-09,0.4102456872828544
134,2008-01-09,0.38524281004900995
135,2008-01-09,0.3854023398463273
136,2008-01-09,0.3907454485579076
137,2008-01-09,0.37085550132808565
138,2008-01-09,0.3430882006064412
139,2008-01-09,0.35307248692140547
140,2008-01-09,0.33621360584061377
141,2008-01-09,0.3433753542416125
142,2008-01-09,0.3263740358417875
143,2008-01-09,0.30632455881464815
144,2008-01-10,0.22241074592714738
145,2008-01-10,0.19939230542207603
146,2008-01-10,0.1839862849954249
147,2008-01-10,0.15620711468711085
148,2008-01-10,0.12700670423973232
149,2008-01-10,0.11519086429825692
150,2008-01-10,0.11011069487761221
151,2008-01-10,0.1116011589839776
152,2008-01-10,0.12140369527985523
153,2008-01-10,0.1496482555986413
154,2008-01-10,0.1793296290134564
